baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison_exp_vs_contr	gene	symbol	FoldChange
ACSS1	239.686720348681	3.08840760046419	0.339059527869299	9.10874742223646	8.33385468863438e-20	1.17586379042137e-17	SENS_vs_RESIST	ACSS1	ACSS1	8.50556810903494
ACTA2	6.13273779157596	-1.9250873772548	0.647287420261011	-2.97408433563954	0.00293864295893144	0.0178532922452973	SENS_vs_RESIST	ACTA2	ACTA2	0.263324310190475
ACTBL2	29.8488554364158	-1.26272075634814	0.386782974861324	-3.26467512382332	0.00109589693948895	0.00802171073730577	SENS_vs_RESIST	ACTBL2	ACTBL2	0.416757262037874
ACVR1C	165.007200384015	1.15320434022612	0.318611341715621	3.61947046208865	0.000295206504479302	0.00269022542250152	SENS_vs_RESIST	ACVR1C	ACVR1C	2.22407330569123
ACYP2	30.8207587959887	-1.42081903553634	0.29251324862268	-4.85728096838817	1.19008666717796e-06	2.12875939690729e-05	SENS_vs_RESIST	ACYP2	ACYP2	0.373500211341804
ADA	71.0399748250356	-3.6005041300913	0.797738301262047	-4.51339007340527	6.37995243367643e-06	9.4599642493915e-05	SENS_vs_RESIST	ADA	ADA	0.0824404317058287
ADAM21	9.03790245390979	-2.37646857124884	0.681876759673082	-3.48518781075367	0.000491791725833777	0.00411511000854878	SENS_vs_RESIST	ADAM21	ADAM21	0.192580219025123
ADAM28	13.7166065864297	-3.79201733584226	0.650935893948686	-5.82548507632488	5.69469483609554e-09	1.63517667337501e-07	SENS_vs_RESIST	ADAM28	ADAM28	0.0721919940494374
ADAMTS1	933.459892262289	1.61121374070139	0.226888163674484	7.10135652123749	1.23538224155974e-12	7.29945889805354e-11	SENS_vs_RESIST	ADAMTS1	ADAMTS1	3.05508758512092
ADAMTS16	41.5551528296812	-2.53698537531021	0.289718641193472	-8.7567212273926	2.01011990855208e-18	2.40143303235562e-16	SENS_vs_RESIST	ADAMTS16	ADAMTS16	0.172302390753204
ADAMTS17	26.2609998801851	3.33445888399412	0.612368246276578	5.44518580816174	5.17513353004539e-08	1.22578018069831e-06	SENS_vs_RESIST	ADAMTS17	ADAMTS17	10.0872351111501
ADAMTS18	17.2492359388236	-1.10832548560783	0.362900555647868	-3.05407492041226	0.00225755694170914	0.0143280474915859	SENS_vs_RESIST	ADAMTS18	ADAMTS18	0.463832081538146
ADAMTS3	4.37948382858317	4.17470698972877	1.3522087273785	3.08732439393597	0.00201967062616028	0.0131539789647295	SENS_vs_RESIST	ADAMTS3	ADAMTS3	18.0597621803621
ADAMTS6	297.028996089571	-1.8622799476784	0.376137294069486	-4.95106435081219	7.38086904899267e-07	1.36964494019119e-05	SENS_vs_RESIST	ADAMTS6	ADAMTS6	0.275041276793925
ADARB1	38.2221748632052	-1.59987394432741	0.42332209686285	-3.77933010391788	0.000157250843293181	0.00156267428790498	SENS_vs_RESIST	ADARB1	ADARB1	0.329905801997615
ADCK1	60.8750757564289	1.16568110466826	0.308078180381398	3.78371848089065	0.000154502574840108	0.0015409772348617	SENS_vs_RESIST	ADCK1	ADCK1	2.24339102395879
ADD2	106.425956361946	4.38700568942182	0.459989330802625	9.53719009475074	1.4675467336876e-21	2.42619569598636e-19	SENS_vs_RESIST	ADD2	ADD2	20.9228240878145
ADM	843.577356862488	1.33566444866291	0.23839237780067	5.60279846606388	2.10918412255777e-08	5.40063950696922e-07	SENS_vs_RESIST	ADM	ADM	2.52391696703059
ADM2	2.43846556117628	4.27445134508913	1.46541778342848	2.91688240270202	0.00353549042102567	0.0207179991840054	SENS_vs_RESIST	ADM2	ADM2	19.3525442822954
ADORA1	14.2486712895245	1.71742303129982	0.647859372835034	2.65091947930671	0.00802729763239758	0.0396806947597255	SENS_vs_RESIST	ADORA1	ADORA1	3.28848486706456
ADRA1B	13.7293420208684	-3.10709853499585	0.587940950625657	-5.28471189443333	1.25902743121497e-07	2.75487994207158e-06	SENS_vs_RESIST	ADRA1B	ADRA1B	0.116056679682936
ADRB2	956.267080071748	3.72573682955454	0.303307742313	12.2836852140416	1.10832248589155e-34	5.33526886076091e-32	SENS_vs_RESIST	ADRB2	ADRB2	13.2299603204744
AFAP1	211.891982205776	-1.49577422576306	0.383254727479757	-3.90282002677205	9.50784007763228e-05	0.00101775551700855	SENS_vs_RESIST	AFAP1	AFAP1	0.354590496138207
AFAP1L1	193.750044420078	2.13002453439738	0.409113479637744	5.2064393876326	1.92498531988974e-07	4.04371067480532e-06	SENS_vs_RESIST	AFAP1L1	AFAP1L1	4.37724924368465
AFAP1L2	1640.29976722524	-1.40373405717523	0.263229141917197	-5.33274563352412	9.67387787344459e-08	2.1630103709654e-06	SENS_vs_RESIST	AFAP1L2	AFAP1L2	0.377949645958136
AGAP5	49.6411647609645	-1.2000435516007	0.248839869812139	-4.82255336536977	1.41732093219038e-06	2.497017405507e-05	SENS_vs_RESIST	AGAP5	AGAP5	0.435262141900163
AGBL2	35.3693645695963	1.05081473242316	0.347775071385274	3.02153552362883	0.00251496128474299	0.0156988449074709	SENS_vs_RESIST	AGBL2	AGBL2	2.07169946715937
AGPAT4-IT1	18.9381430808582	-1.01142616020928	0.379946520139671	-2.6620224336769	0.00776727015757666	0.0385466678802478	SENS_vs_RESIST	AGPAT4-IT1	AGPAT4-IT1	0.496055634957912
AGR2	2676.75926926097	-1.92418962776836	0.526795022917058	-3.652634410085	0.000259563653235635	0.00242067140313825	SENS_vs_RESIST	AGR2	AGR2	0.263488220667173
AIFM1	1066.04841256972	1.01907508964906	0.0936879168491923	10.8773374830124	1.47817608639648e-27	4.48024222334281e-25	SENS_vs_RESIST	AIFM1	AIFM1	2.02661927941523
AIM2	346.434472229743	2.16664381861913	0.149707043132976	14.4725576918557	1.80628464336334e-47	1.64241448655154e-44	SENS_vs_RESIST	AIM2	AIM2	4.48977708780651
AK8	13.5154643429777	-1.8073006946291	0.515402953496409	-3.50657807132977	0.000453908259485205	0.00385527580850771	SENS_vs_RESIST	AK8	AK8	0.285725025227313
AK9	175.476394078262	-1.28869502337917	0.298788362757719	-4.31306966404226	1.61003358803571e-05	0.00021546541075536	SENS_vs_RESIST	AK9	AK9	0.409321109547961
AKAP2	977.021596424572	-1.07654212897971	0.224350276630556	-4.79848808366964	1.59867817473753e-06	2.75717235889664e-05	SENS_vs_RESIST	AKAP2	AKAP2	0.474163945049549
AKAP7	97.4562281480355	3.14280274963194	0.320618482167423	9.80231310555205	1.10036463207693e-22	2.02355819474192e-20	SENS_vs_RESIST	AKAP7	AKAP7	8.83238310009462
AKR1C2	498.688198497777	-1.25855881773328	0.479473915372196	-2.62487442462081	0.00866809294063833	0.0421353982945433	SENS_vs_RESIST	AKR1C2	AKR1C2	0.417961274251451
AKR1C3	34.9538620075478	-1.37653057274734	0.324578935840548	-4.24097321405839	2.22552697753439e-05	0.000286586939742764	SENS_vs_RESIST	AKR1C3	AKR1C3	0.385143885687822
ALDH16A1	212.828592065896	1.10937566794541	0.333012506611927	3.33133334610226	0.000864310348088977	0.00658880645885994	SENS_vs_RESIST	ALDH16A1	ALDH16A1	2.15752259441348
ALDH1L2	184.461366966443	3.12806205577539	0.251744680439444	12.4255338794649	1.89954047241161e-35	1.00289609393422e-32	SENS_vs_RESIST	ALDH1L2	ALDH1L2	8.74259795695542
ALDH2	16.1057754055149	2.13663481358468	0.739270719843472	2.89019266722355	0.00385005783221703	0.0221281580998274	SENS_vs_RESIST	ALDH2	ALDH2	4.39735136390241
ALDH3A1	664.09246907038	2.29822963463525	0.587097111081653	3.91456471383592	9.05674455369178e-05	0.000975850810469212	SENS_vs_RESIST	ALDH3A1	ALDH3A1	4.91853829340655
ALDH8A1	3.10053083828958	3.64049699154044	1.42406860006741	2.556405633386	0.0105759752673494	0.0491765699229684	SENS_vs_RESIST	ALDH8A1	ALDH8A1	12.4709286234909
ALKBH2	182.733432436279	1.53980943054889	0.29991070991498	5.13422622014866	2.83307167371411e-07	5.78165636953602e-06	SENS_vs_RESIST	ALKBH2	ALKBH2	2.90756094176277
ALOX15	21.6820910959412	1.09569531239242	0.360410573321654	3.04013087711094	0.00236475363695461	0.0149033202834179	SENS_vs_RESIST	ALOX15	ALOX15	2.13716058064151
ALPK3	174.818402907203	-2.28382588372523	0.264594237521136	-8.6314271433927	6.05911525975593e-18	6.74750218499336e-16	SENS_vs_RESIST	ALPK3	ALPK3	0.205352457311986
ALX4	11.3013899462119	2.90113549940469	0.86357100214699	3.35946377563854	0.00078093888731439	0.00607203171908533	SENS_vs_RESIST	ALX4	ALX4	7.47014112972747
AMDHD2	16.9186858572754	-1.19667990942438	0.455575935173689	-2.62674082854738	0.00862069657831258	0.041956576318141	SENS_vs_RESIST	AMDHD2	AMDHD2	0.436278139126387
AMER1	840.651804268573	1.27717482927373	0.202561591822846	6.30511844708799	2.87973582966704e-10	1.09356464789235e-08	SENS_vs_RESIST	AMER1	AMER1	2.42363900550087
AMIGO2	2550.82040726495	1.19133188455123	0.271488845569603	4.38814302684051	1.14322587522946e-05	0.000160473223841171	SENS_vs_RESIST	AMIGO2	AMIGO2	2.28363469221206
AMN1	156.502322637957	-1.48268587520043	0.319998590918633	-4.63341376267946	3.59684630690553e-06	5.62269183430018e-05	SENS_vs_RESIST	AMN1	AMN1	0.357822031804064
AMY2B	44.2816033668063	-2.17282735856004	0.677617617541081	-3.20656857542272	0.00134328284275608	0.00944871720680695	SENS_vs_RESIST	AMY2B	AMY2B	0.221775613684671
ANGPT1	179.002906124132	3.82265218554124	0.520525037809503	7.34383921593454	2.07552437132472e-13	1.33740580257762e-11	SENS_vs_RESIST	ANGPT1	ANGPT1	14.1492353628671
ANGPTL2	123.44675364692	3.08220682628859	0.419664529363595	7.3444539879571	2.06600748946369e-13	1.33653535889535e-11	SENS_vs_RESIST	ANGPTL2	ANGPTL2	8.46908920957139
ANKDD1B	5.71636633916455	-2.72030124548947	0.861129938215198	-3.15899044356494	0.00158316681617392	0.0107472796683196	SENS_vs_RESIST	ANKDD1B	ANKDD1B	0.151742672238899
ANKLE1	152.6781779853	1.23983795315763	0.31010579303045	3.99811284091647	6.38495124987755e-05	0.000719714167401831	SENS_vs_RESIST	ANKLE1	ANKLE1	2.3617200341061
ANKRD10	419.794315992983	-1.44862808278891	0.239593987940353	-6.04617876784764	1.48321518344149e-09	4.84782268885903e-08	SENS_vs_RESIST	ANKRD10	ANKRD10	0.366369654146332
ANKRD2	240.686636935612	1.38389362041075	0.472170615876376	2.93091855756877	0.00337961371046881	0.0199834312135993	SENS_vs_RESIST	ANKRD2	ANKRD2	2.60971745629767
ANKRD20A11P	15.1621341066935	1.55625761829333	0.533085516094489	2.91933952678896	0.00350773942835911	0.0205996308661477	SENS_vs_RESIST	ANKRD20A11P	ANKRD20A11P	2.9408997747015
ANKRD29	32.948784142962	3.45826499653767	0.460444501639734	7.51070972554153	5.88076595518698e-14	4.18480419080632e-12	SENS_vs_RESIST	ANKRD29	ANKRD29	10.9911085464702
ANKRD42	122.836175096846	-1.21172777075786	0.20367662739997	-5.94927256124643	2.69336810916929e-09	8.30176192895927e-08	SENS_vs_RESIST	ANKRD42	ANKRD42	0.431751240872159
ANKRD6	36.4945289559253	2.22771275654648	0.535220643581201	4.16223249843408	3.15151227284836e-05	0.000387534195114268	SENS_vs_RESIST	ANKRD6	ANKRD6	4.68390805661549
ANKRD7	9.35280543288705	2.12136398798001	0.782387092991285	2.711399519475	0.00669998442470198	0.0343865302850729	SENS_vs_RESIST	ANKRD7	ANKRD7	4.35105118316426
ANO2	132.588713885756	2.33504174374314	0.405750967301197	5.75486426877644	8.67114361591789e-09	2.41772755641786e-07	SENS_vs_RESIST	ANO2	ANO2	5.04565562702758
ANO8	18.2182813650691	1.2851344608828	0.440078480812834	2.92023926848033	0.00349762734025237	0.020562380272238	SENS_vs_RESIST	ANO8	ANO8	2.43704765248739
